District,State,Confirmed,Recovered,Deaths,Active,Delta_Confirmed,Delta_Recovered,Delta_Deaths,Last_Updated_Time
Upper Subansiri,Arunachal Pradesh,0,0,0,0,0,0,,
West Kameng,Arunachal Pradesh,0,0,0,0,0,0,,
West Siang,Arunachal Pradesh,0,0,0,0,0,0,,
Baksa,Assam,0,0,0,0,0,0,,
Barpeta,Assam,0,0,0,0,0,0,,
Biswanath,Assam,0,0,0,0,0,0,,
Bongaigaon,Assam,0,0,0,0,0,0,,
Cachar,Assam,2,0,0,2,0,0,,
Charaideo,Assam,0,0,0,0,0,0,,
Chirang,Assam,0,0,0,0,0,0,,
Darrang,Assam,0,0,0,0,0,0,,
Dhemaji,Assam,0,0,0,0,0,0,,
Dhubri,Assam,2,0,0,2,0,0,,
Dibrugarh,Assam,0,0,0,0,0,0,,
Dima Hasao,Assam,0,0,0,0,0,0,,
Goalpara,Assam,3,0,0,3,0,0,,
Golaghat,Assam,1,0,0,1,0,0,,
Hailakandi,Assam,1,0,1,0,0,0,,
Hojai,Assam,0,0,0,0,0,0,,
Jorhat,Assam,8,0,0,8,0,0,,
Kamrup,Assam,1,0,0,1,0,0,,
Kamrup Metropolitan,Assam,5,0,0,5,0,0,,
Karbi Anglong,Assam,0,0,0,0,0,0,,
Karimganj,Assam,0,0,0,0,0,0,,
Kokrajhar,Assam,0,0,0,0,0,0,,
Lakhimpur,Assam,1,0,0,1,0,0,,
Majuli,Assam,0,0,0,0,0,0,,
Morigaon,Assam,1,0,0,1,0,0,,
Nagaon,Assam,0,0,0,0,0,0,,
Nalbari,Assam,3,0,0,3,0,0,,
Sivasagar,Assam,0,0,0,0,0,0,,
Sonitpur,Assam,0,0,0,0,0,0,,
South Salmara Mancachar,Assam,1,0,0,1,0,0,,
Tinsukia,Assam,0,0,0,0,0,0,,
Udalguri,Assam,0,0,0,0,0,0,,
West Karbi Anglong,Assam,0,0,0,0,0,0,,
Araria,Bihar,0,0,0,0,0,0,,
Arwal,Bihar,0,0,0,0,0,0,,
Aurangabad,Bihar,17,1,1,15,0,0,,
Banka,Bihar,0,0,0,0,0,0,,
Begusarai,Bihar,5,0,0,5,0,0,,
Bhagalpur,Bihar,1,0,0,1,0,0,,
Bhojpur,Bihar,0,0,0,0,0,0,,
Buxar,Bihar,0,0,0,0,0,0,,
Darbhanga,Bihar,0,0,0,0,0,0,,
Gaya,Bihar,5,0,0,5,0,0,,
Gopalganj,Bihar,3,0,0,3,0,0,,
Jamui,Bihar,0,0,0,0,0,0,,
Jehanabad,Bihar,0,0,0,0,0,0,,
Kaimur Bhabua,Bihar,0,0,0,0,0,0,,
Katihar,Bihar,0,0,0,0,0,0,,
Khagaria,Bihar,0,0,0,0,0,0,,
Kishanganj,Bihar,0,0,0,0,0,0,,
Lakhisarai,Bihar,1,0,0,1,0,0,,
Madhepura,Bihar,0,0,0,0,0,0,,
Madhubani,Bihar,0,0,0,0,0,0,,
Munger,Bihar,7,6,1,0,0,0,,
Muzaffarpur,Bihar,0,0,0,0,0,0,,
Nalanda,Bihar,2,0,0,2,0,0,,
Nawada,Bihar,1,0,0,1,0,0,,
West Champaran,Bihar,0,0,0,0,0,0,,
Patna,Bihar,5,5,0,0,0,0,,
East Champaran,Bihar,0,0,0,0,0,0,,
Purnia,Bihar,0,0,0,0,0,0,,
Rohtas,Bihar,0,0,0,0,0,0,,
Saharsa,Bihar,0,0,0,0,0,0,,
Samastipur,Bihar,0,0,0,0,0,0,,
Saran,Bihar,1,0,0,1,0,0,,
Sheikhpura,Bihar,0,0,0,0,0,0,,
Sheohar,Bihar,0,0,0,0,0,0,,
Sitamarhi,Bihar,0,0,0,0,0,0,,
Siwan,Bihar,29,4,0,25,0,0,,
Supaul,Bihar,0,0,0,0,0,0,,
Vaishali,Bihar,0,0,0,0,0,0,,
Chandigarh,Chandigarh,19,0,0,19,0,0,,
Balod,Chhattisgarh,0,0,0,0,0,0,,
Baloda Bazar,Chhattisgarh,0,0,0,0,0,0,,
Balrampur,Chhattisgarh,0,0,0,0,0,0,,
Bametara,Chhattisgarh,0,0,0,0,0,0,,
Bastar,Chhattisgarh,0,0,0,0,0,0,,
Bijapur,Chhattisgarh,0,0,0,0,0,0,,
Bilaspur,Chhattisgarh,1,0,0,1,0,0,,
Dakshin Bastar Dantewada,Chhattisgarh,0,0,0,0,0,0,,
Dhamtari,Chhattisgarh,0,0,0,0,0,0,,
Durg,Chhattisgarh,1,0,0,1,0,0,,
Gariaband,Chhattisgarh,0,0,0,0,0,0,,
Janjgir Champa,Chhattisgarh,0,0,0,0,0,0,,
Jashpur,Chhattisgarh,0,0,0,0,0,0,,
Kabeerdham,Chhattisgarh,0,0,0,0,0,0,,
Kondagaon,Chhattisgarh,0,0,0,0,0,0,,
Korba,Chhattisgarh,10,0,0,10,0,0,,
Koriya,Chhattisgarh,0,0,0,0,0,0,,
Mahasamund,Chhattisgarh,0,0,0,0,0,0,,
Mungeli,Chhattisgarh,0,0,0,0,0,0,,
Narayanpur,Chhattisgarh,0,0,0,0,0,0,,
Raigarh,Chhattisgarh,0,0,0,0,0,0,,
Raipur,Chhattisgarh,5,1,0,4,0,0,,
Rajnandgaon,Chhattisgarh,1,0,0,1,0,0,,
Sukma,Chhattisgarh,0,0,0,0,0,0,,
Surajpur,Chhattisgarh,0,0,0,0,0,0,,
Surguja,Chhattisgarh,0,0,0,0,0,0,,
Uttar Bastar Kanker,Chhattisgarh,0,0,0,0,0,0,,
Dadra and Nagar Haveli,Dadra and Nagar Haveli,0,0,0,0,0,0,,
Daman,Daman And Diu,0,0,0,0,0,0,,
Diu,Daman And Diu,0,0,0,0,0,0,,
Central Delhi,Delhi,0,0,0,0,0,0,,
East Delhi,Delhi,1,0,0,1,0,0,,
New Delhi,Delhi,5,0,0,5,0,0,,
North Delhi,Delhi,3,0,0,3,0,0,,
North East Delhi,Delhi,1,0,0,1,0,0,,
North West Delhi,Delhi,3,0,0,3,0,0,,
Shahdara,Delhi,0,0,0,0,0,0,,
South Delhi,Delhi,26,0,0,26,0,0,,
South East Delhi,Delhi,0,0,0,0,0,0,,
South West Delhi,Delhi,3,0,0,3,0,0,,
West Delhi,Delhi,2,0,0,2,0,0,,
North Goa,Goa,4,0,0,4,0,0,,
South Goa,Goa,0,0,0,0,0,0,,
Ahmadabad,Gujarat,197,3,6,188,0,0,,
Amreli,Gujarat,0,0,0,0,0,0,,
Anand,Gujarat,2,0,0,2,0,0,,
Aravalli,Gujarat,0,0,0,0,0,0,,
Banas Kantha,Gujarat,0,0,0,0,0,0,,
Bharuch,Gujarat,7,0,0,7,0,0,,
Bhavnagar,Gujarat,22,1,2,19,0,0,,
Botad,Gujarat,0,0,0,0,0,0,,
Chota Udaipur,Gujarat,2,0,0,2,0,0,,
Devbhumi Dwarka,Gujarat,0,0,0,0,0,0,,
Dohad,Gujarat,0,0,0,0,0,0,,
Gandhinagar,Gujarat,14,0,0,14,0,0,,
Gir Somnath,Gujarat,2,0,0,2,0,0,,
Jamnagar,Gujarat,1,0,1,0,0,0,,
Junagadh,Gujarat,0,0,0,0,0,0,,
Kachchh,Gujarat,4,0,0,4,0,0,,
Kheda,Gujarat,0,0,0,0,0,0,,
Mahesana,Gujarat,2,0,0,2,0,0,,
Mahisagar,Gujarat,0,0,0,0,0,0,,
Morbi,Gujarat,1,0,0,1,0,0,,
Narmada,Gujarat,0,0,0,0,0,0,,
Navsari,Gujarat,0,0,0,0,0,0,,
Panch Mahals,Gujarat,1,0,1,0,0,0,,
Patan,Gujarat,18,0,1,17,0,0,,
Porbandar,Gujarat,3,0,0,3,0,0,,
Rajkot,Gujarat,14,0,0,14,0,0,,
Sabar Kantha,Gujarat,1,0,0,1,0,0,,
Surat,Gujarat,27,0,4,23,0,0,,
Surendranagar,Gujarat,0,0,0,0,0,0,,
Tapi,Gujarat,0,0,0,0,0,0,,
The Dangs,Gujarat,0,0,0,0,0,0,,
Vadodara,Gujarat,59,1,2,56,0,0,,
Valsad,Gujarat,0,0,0,0,0,0,,
Ambala,Haryana,7,0,0,7,0,0,,
Bhiwani,Haryana,2,0,0,2,0,0,,
Charki Dadri,Haryana,1,0,0,1,0,0,,
Faridabad,Haryana,28,2,0,26,0,1,,
Fatehabad,Haryana,1,0,0,1,0,0,,
Gurugram,Haryana,32,12,0,20,0,3,,
Hisar,Haryana,1,0,0,1,0,0,,
Jhajjar,Haryana,0,0,0,0,0,0,,
Jind,Haryana,1,0,0,1,0,0,,
Kaithal,Haryana,2,0,0,2,0,0,,
Karnal,Haryana,5,0,1,4,0,0,,
Kurukshetra,Haryana,0,0,0,0,0,0,,
Mahendragarh,Haryana,0,0,0,0,0,0,,
Nuh,Haryana,38,0,0,38,0,0,,
Palwal,Haryana,28,1,0,27,0,0,,
Panchkula,Haryana,5,0,0,5,0,0,,
Panipat,Haryana,4,3,0,1,0,0,,
Rewari,Haryana,0,0,0,0,0,0,,
Rohtak,Haryana,1,0,0,1,0,0,,
Sirsa,Haryana,3,0,0,3,0,0,,
Sonipat,Haryana,3,0,0,3,0,0,,
Yamunanagar,Haryana,0,0,0,0,0,0,,
Bilaspur,Himachal Pradesh,1,0,0,1,0,0,,
Chamba,Himachal Pradesh,0,0,0,0,0,0,,
Hamirpur,Himachal Pradesh,0,0,0,0,0,0,,
Kangra,Himachal Pradesh,3,0,0,3,0,0,,
Kinnaur,Himachal Pradesh,0,0,0,0,0,0,,
Kullu,Himachal Pradesh,0,0,0,0,0,0,,
Lahul and Spiti,Himachal Pradesh,0,0,0,0,0,0,,
Mandi,Himachal Pradesh,0,0,0,0,0,0,,
Shimla,Himachal Pradesh,0,0,0,0,0,0,,
Sirmaur,Himachal Pradesh,1,0,0,1,0,0,,
Solan,Himachal Pradesh,0,0,1,-1,0,0,,
Una,Himachal Pradesh,12,0,0,12,0,0,,
Anantnag,Jammu and Kashmir,0,0,0,0,0,0,,
Badgam,Jammu and Kashmir,2,0,0,2,0,0,,
Bandipore,Jammu and Kashmir,9,0,1,8,0,0,,
Baramula,Jammu and Kashmir,1,0,0,1,0,0,,
Doda,Jammu and Kashmir,0,0,0,0,0,0,,
Ganderbal,Jammu and Kashmir,0,0,0,0,0,0,,
Jammu,Jammu and Kashmir,19,0,0,19,0,0,,
Kathua,Jammu and Kashmir,0,0,0,0,0,0,,
Kishtwar,Jammu and Kashmir,0,0,0,0,0,0,,
Kulgam,Jammu and Kashmir,0,0,0,0,0,0,,
Kupwara,Jammu and Kashmir,0,0,0,0,0,0,,
Mirpur,Jammu and Kashmir,0,0,0,0,0,0,,
Muzaffarabad,Jammu and Kashmir,0,0,0,0,0,0,,
Pulwama,Jammu and Kashmir,0,0,0,0,0,0,,
Punch,Jammu and Kashmir,0,0,0,0,0,0,,
Rajouri,Jammu and Kashmir,3,0,0,3,0,0,,
Ramban,Jammu and Kashmir,0,0,0,0,0,0,,
Reasi,Jammu and Kashmir,0,0,0,0,0,0,,
Samba,Jammu and Kashmir,0,0,0,0,0,0,,
Shupiyan,Jammu and Kashmir,2,0,0,2,0,0,,
Srinagar,Jammu and Kashmir,17,0,0,17,0,0,,
Udhampur,Jammu and Kashmir,3,0,1,2,0,0,,
Bokaro,Jharkhand,6,0,1,5,0,0,,
Chatra,Jharkhand,0,0,0,0,0,0,,
Deoghar,Jharkhand,0,0,0,0,0,0,,
Dhanbad,Jharkhand,0,0,0,0,0,0,,
Dumka,Jharkhand,0,0,0,0,0,0,,
Garhwa,Jharkhand,0,0,0,0,0,0,,
Giridih,Jharkhand,0,0,0,0,0,0,,
Godda,Jharkhand,0,0,0,0,0,0,,
Gumla,Jharkhand,0,0,0,0,0,0,,
Hazaribagh,Jharkhand,1,0,0,1,0,0,,
Jamtara,Jharkhand,0,0,0,0,0,0,,
Khunti,Jharkhand,0,0,0,0,0,0,,
Kodarma,Jharkhand,0,0,0,0,0,0,,
Latehar,Jharkhand,0,0,0,0,0,0,,
Lohardaga,Jharkhand,0,0,0,0,0,0,,
Pakur,Jharkhand,0,0,0,0,0,0,,
Palamu,Jharkhand,0,0,0,0,0,0,,
Pashchimi Singhbhum,Jharkhand,0,0,0,0,0,0,,
Purbi Singhbhum,Jharkhand,0,0,0,0,0,0,,
Ramgarh,Jharkhand,0,0,0,0,0,0,,
Ranchi,Jharkhand,7,0,0,7,0,0,,
Sahibganj,Jharkhand,0,0,0,0,0,0,,
Saraikela-Kharsawan,Jharkhand,0,0,0,0,0,0,,
Simdega,Jharkhand,0,0,0,0,0,0,,
Bagalkote,Karnataka,8,0,1,7,0,0,,
Ballari,Karnataka,6,0,0,6,0,0,,
Belagavi,Karnataka,10,0,0,10,0,0,,
Bengaluru,Karnataka,66,4,0,62,0,0,,
Bengaluru Rural,Karnataka,5,0,0,5,0,0,,
Bidar,Karnataka,10,0,0,10,0,0,,
Chamarajanagara,Karnataka,0,0,0,0,0,0,,
Chikkaballapura,Karnataka,12,0,0,12,0,0,,
Chikkamagaluru,Karnataka,0,0,0,0,0,0,,
Chitradurga,Karnataka,1,1,0,0,0,0,,
Dakshina Kannada,Karnataka,10,0,0,10,0,0,,
Davanagere,Karnataka,2,1,0,1,0,0,,
Dharwad,Karnataka,2,0,0,2,0,0,,
Gadag,Karnataka,1,0,1,0,0,0,,
Hassan,Karnataka,0,0,0,0,0,0,,
Haveri,Karnataka,0,0,0,0,0,0,,
Kalaburagi,Karnataka,10,0,1,9,0,0,,
Kodagu,Karnataka,1,0,0,1,0,0,,
Kolar,Karnataka,0,0,0,0,0,0,,
Koppal,Karnataka,0,0,0,0,0,0,,
Mandya,Karnataka,5,0,0,5,0,0,,
Mysuru,Karnataka,42,0,0,42,0,0,,
Raichur,Karnataka,0,0,0,0,0,0,,
Ramanagara,Karnataka,0,0,0,0,0,0,,
Shivamogga,Karnataka,0,0,0,0,0,0,,
Tumakuru,Karnataka,2,0,0,2,0,0,,
Udupi,Karnataka,4,0,0,4,0,0,,
Uttara Kannada,Karnataka,10,1,0,9,0,0,,
Vijayapura,Karnataka,0,0,0,0,0,0,,
Yadgir,Karnataka,0,0,0,0,0,0,,
Alappuzha,Kerala,5,1,0,4,0,0,,
Ernakulam,Kerala,24,10,0,14,0,0,,
Idukki,Kerala,10,6,0,4,0,0,,
Kannur,Kerala,64,28,0,36,0,0,,
Kasaragod,Kerala,164,5,0,159,0,0,,
Kollam,Kerala,9,1,0,8,0,0,,
Kottayam,Kerala,3,1,0,2,0,0,,
Kozhikode,Kerala,12,5,0,7,0,0,,
Malappuram,Kerala,20,3,0,17,0,0,,
Palakkad,Kerala,7,0,0,7,0,0,,
Pathanamthitta,Kerala,16,3,0,13,0,0,,
Thiruvananthapuram,Kerala,14,5,1,8,0,0,,
Thrissur,Kerala,13,7,0,6,0,0,,
Wayanad,Kerala,3,2,0,1,0,0,,
Kargil,Ladakh,3,0,0,3,0,0,,
Leh,Ladakh,12,0,0,12,0,0,,
Lakshadweep,Lakshadweep,0,0,0,0,0,0,,
Agar Malwa,Madhya Pradesh,0,0,0,0,0,0,,
Alirajpur,Madhya Pradesh,0,0,0,0,0,0,,
Anuppur,Madhya Pradesh,0,0,0,0,0,0,,
Ashoknagar,Madhya Pradesh,0,0,0,0,0,0,,
Balaghat,Madhya Pradesh,0,0,0,0,0,0,,
Barwani,Madhya Pradesh,14,0,0,14,0,0,,
Betul,Madhya Pradesh,1,0,0,1,0,0,,
Bhind,Madhya Pradesh,0,0,0,0,0,0,,
Bhopal,Madhya Pradesh,116,0,1,115,0,0,,
Burhanpur,Madhya Pradesh,0,0,0,0,0,0,,
Chhatarpur,Madhya Pradesh,0,0,0,0,0,0,,
Chhindwara,Madhya Pradesh,2,0,1,1,0,0,,
Damoh,Madhya Pradesh,0,0,0,0,0,0,,
Datia,Madhya Pradesh,0,0,0,0,0,0,,
Dewas,Madhya Pradesh,3,0,1,2,0,0,,
Dhar,Madhya Pradesh,1,0,0,1,0,0,,
Dindori,Madhya Pradesh,0,0,0,0,0,0,,
Khandwa,Madhya Pradesh,5,0,0,5,0,0,,
Guna,Madhya Pradesh,0,0,0,0,0,0,,
Gwalior,Madhya Pradesh,6,0,0,6,0,0,,
Harda,Madhya Pradesh,0,0,0,0,0,0,,
Hoshangabad,Madhya Pradesh,6,0,0,6,0,0,,
Indore,Madhya Pradesh,235,0,15,220,0,0,,
Jabalpur,Madhya Pradesh,9,3,0,6,0,0,,
Jhabua,Madhya Pradesh,0,0,0,0,0,0,,
Katni,Madhya Pradesh,0,0,0,0,0,0,,
Mandla,Madhya Pradesh,0,0,0,0,0,0,,
Mandsaur,Madhya Pradesh,0,0,0,0,0,0,,
Morena,Madhya Pradesh,13,0,0,13,0,0,,
Narsimhapur,Madhya Pradesh,0,0,0,0,0,0,,
Neemuch,Madhya Pradesh,0,0,0,0,0,0,,
Niwari,Madhya Pradesh,0,0,0,0,0,0,,
Panna,Madhya Pradesh,0,0,0,0,0,0,,
Raisen,Madhya Pradesh,1,0,0,1,0,0,,
Rajgarh,Madhya Pradesh,0,0,0,0,0,0,,
Ratlam,Madhya Pradesh,0,0,0,0,0,0,,
Rewa,Madhya Pradesh,0,0,0,0,0,0,,
Sagar,Madhya Pradesh,1,0,0,1,0,0,,
Satna,Madhya Pradesh,0,0,0,0,0,0,,
Sehore,Madhya Pradesh,0,0,0,0,0,0,,
Seoni,Madhya Pradesh,0,0,0,0,0,0,,
Shahdol,Madhya Pradesh,0,0,0,0,0,0,,
Shajapur,Madhya Pradesh,1,0,0,1,0,0,,
Sheopur,Madhya Pradesh,1,0,0,1,0,0,,
Shivpuri,Madhya Pradesh,2,0,0,2,0,0,,
Sidhi,Madhya Pradesh,0,0,0,0,0,0,,
Singrauli,Madhya Pradesh,0,0,0,0,0,0,,
Tikamgarh,Madhya Pradesh,0,0,0,0,0,0,,
Ujjain,Madhya Pradesh,15,0,2,13,0,0,,
Umaria,Madhya Pradesh,0,0,0,0,0,0,,
Vidisha,Madhya Pradesh,4,0,0,4,0,0,,
Khargone,Madhya Pradesh,14,0,0,14,0,0,,
Ahmadnagar,Maharashtra,25,1,0,24,0,0,,
Akola,Maharashtra,9,0,0,9,0,0,,
Amravati,Maharashtra,4,0,1,3,0,0,,
Aurangabad,Maharashtra,17,1,1,15,0,0,,
Bhandara,Maharashtra,0,0,0,0,0,0,,
Bid,Maharashtra,1,0,0,1,0,0,,
Buldana,Maharashtra,11,0,1,10,0,0,,
Chandrapur,Maharashtra,0,0,0,0,0,0,,
Dhule,Maharashtra,0,0,0,0,0,0,,
Gadchiroli,Maharashtra,0,0,0,0,0,0,,
Gondiya,Maharashtra,1,0,0,1,0,0,,
Hingoli,Maharashtra,1,0,0,1,0,0,,
Jalgaon,Maharashtra,2,0,0,2,0,0,,
Jalna,Maharashtra,1,0,0,1,0,0,,
Kolhapur,Maharashtra,5,0,0,5,0,0,,
Latur,Maharashtra,8,0,0,8,0,0,,
Mumbai,Maharashtra,874,14,55,805,0,0,,
Mumbai Suburban,Maharashtra,0,0,1,-1,0,0,,
Nagpur,Maharashtra,19,4,1,14,0,0,,
Nanded,Maharashtra,0,0,0,0,0,0,,
Nandurbar,Maharashtra,0,0,0,0,0,0,,
Nashik,Maharashtra,7,0,0,7,0,0,,
Osmanabad,Maharashtra,4,0,0,4,0,0,,
Palghar,Maharashtra,6,0,3,3,0,0,,
Parbhani,Maharashtra,0,0,0,0,0,0,,
Pune,Maharashtra,206,16,14,176,0,0,,
Raigarh,Maharashtra,0,0,0,0,0,0,,
Ratnagiri,Maharashtra,4,0,0,4,0,0,,
Sangli,Maharashtra,26,0,0,26,0,0,,
Satara,Maharashtra,6,0,0,6,0,0,,
Sindhudurg,Maharashtra,1,0,0,1,0,0,,
Solapur,Maharashtra,0,0,0,0,0,0,,
Thane,Maharashtra,113,0,6,107,0,0,,
Wardha,Maharashtra,0,0,0,0,0,0,,
Washim,Maharashtra,1,0,0,1,0,0,,
Yavatmal,Maharashtra,4,3,0,1,0,0,,
Bishnupur,Manipur,0,0,0,0,0,0,,
Chandel,Manipur,0,0,0,0,0,0,,
Churachandpur,Manipur,0,0,0,0,0,0,,
Imphal East,Manipur,0,0,0,0,0,0,,
Imphal West,Manipur,1,0,0,1,0,0,,
Jiribam,Manipur,0,0,0,0,0,0,,
Kakching,Manipur,0,0,0,0,0,0,,
Kamjong,Manipur,0,0,0,0,0,0,,
Kangpokpi,Manipur,0,0,0,0,0,0,,
Noney,Manipur,0,0,0,0,0,0,,
Pherzawl,Manipur,0,0,0,0,0,0,,
Senapati,Manipur,0,0,0,0,0,0,,
Tamenglong,Manipur,0,0,0,0,0,0,,
Tengnoupal,Manipur,0,0,0,0,0,0,,
Thoubal,Manipur,0,0,0,0,0,0,,
Ukhrul,Manipur,0,0,0,0,0,0,,
East Garo Hills,Meghalaya,0,0,0,0,0,0,,
East Jaintia Hills,Meghalaya,0,0,0,0,0,0,,
East Khasi Hills,Meghalaya,0,0,0,0,0,0,,
North Garo Hills,Meghalaya,0,0,0,0,0,0,,
Ribhoi,Meghalaya,0,0,0,0,0,0,,
South Garo Hills,Meghalaya,0,0,0,0,0,0,,
South West Garo Hills,Meghalaya,0,0,0,0,0,0,,
South West Khasi Hills,Meghalaya,0,0,0,0,0,0,,
West Garo Hills,Meghalaya,0,0,0,0,0,0,,
West Jaintia Hills,Meghalaya,0,0,0,0,0,0,,
West Khasi Hills,Meghalaya,0,0,0,0,0,0,,
Aizawl,Mizoram,1,0,0,1,0,0,,
Champhai,Mizoram,0,0,0,0,0,0,,
Kolasib,Mizoram,0,0,0,0,0,0,,
Lawngtlai,Mizoram,0,0,0,0,0,0,,
Lunglei,Mizoram,0,0,0,0,0,0,,
Mamit,Mizoram,0,0,0,0,0,0,,
Saiha,Mizoram,0,0,0,0,0,0,,
Serchhip,Mizoram,0,0,0,0,0,0,,
Dimapur,Mizoram,0,0,0,0,0,0,,
Kiphire,Mizoram,0,0,0,0,0,0,,
Kohima,Mizoram,0,0,0,0,0,0,,
Longleng,Nagaland,0,0,0,0,0,0,,
Mokokchung,Nagaland,0,0,0,0,0,0,,
Mon,Nagaland,0,0,0,0,0,0,,
Peren,Nagaland,0,0,0,0,0,0,,
Phek,Nagaland,0,0,0,0,0,0,,
Tuensang,Nagaland,0,0,0,0,0,0,,
Wokha,Nagaland,0,0,0,0,0,0,,
Zunheboto,Nagaland,0,0,0,0,0,0,,
Anugul,Nagaland,0,0,0,0,0,0,,
Balangir,Nagaland,0,0,0,0,0,0,,
Baleshwar,Nagaland,0,0,0,0,0,0,,
Bargarh,Odisha,0,0,0,0,0,0,,
Baudh,Odisha,0,0,0,0,0,0,,
Bhadrak,Odisha,3,0,0,3,0,0,,
Cuttack,Odisha,1,0,0,1,0,0,,
Debagarh,Odisha,0,0,0,0,0,0,,
Dhenkanal,Odisha,1,0,0,1,0,0,,
Gajapati,Odisha,0,0,0,0,0,0,,
Ganjam,Odisha,0,0,0,0,0,0,,
Jagatsinghapur,Odisha,0,0,0,0,0,0,,
Jajapur,Odisha,1,0,0,1,0,0,,
Jharsuguda,Odisha,0,0,0,0,0,0,,
Kalahandi,Odisha,1,0,0,1,0,0,,
Kandhamal,Odisha,0,0,0,0,0,0,,
Kendrapara,Odisha,1,0,0,1,0,0,,
Kendujhar,Odisha,0,0,0,0,0,0,,
Khordha,Odisha,35,2,1,32,0,0,,
Koraput,Odisha,0,0,0,0,0,0,,
Malkangiri,Odisha,0,0,0,0,0,0,,
Mayurbhanj,Odisha,0,0,0,0,0,0,,
Nabarangapur,Odisha,0,0,0,0,0,0,,
Nayagarh,Odisha,0,0,0,0,0,0,,
Nuapada,Odisha,0,0,0,0,0,0,,
Puri,Odisha,1,0,0,1,0,0,,
Rayagada,Odisha,0,0,0,0,0,0,,
Sambalpur,Odisha,0,0,0,0,0,0,,
Subarnapur,Odisha,0,0,0,0,0,0,,
Sundargarh,Odisha,0,0,0,0,0,0,,
Karaikal,Odisha,0,0,0,0,0,0,,
Mahe,Odisha,1,1,0,0,0,0,,
Puducherry,Odisha,6,0,0,6,0,0,,
Yanam,Puducherry,0,0,0,0,0,0,,
Amritsar,Puducherry,11,0,1,10,0,0,,
Barnala,Puducherry,2,0,0,2,0,0,,
Bathinda,Puducherry,0,0,0,0,0,0,,
Faridkot,Punjab,2,0,0,2,0,0,,
Fatehgarh Sahib,Punjab,2,0,0,2,0,0,,
Fazilka,Punjab,0,0,0,0,0,0,,
Firozpur,Punjab,0,0,0,0,0,0,,
Gurdaspur,Punjab,0,0,0,0,0,0,,
Hoshiarpur,Punjab,7,0,1,6,0,0,,
Jalandhar,Punjab,12,0,1,11,0,0,,
Kapurthala,Punjab,1,0,0,1,0,0,,
Ludhiana,Punjab,10,0,2,8,0,0,,
Mansa,Punjab,11,0,0,11,0,0,,
Moga,Punjab,4,0,0,4,0,0,,
Pathankot,Punjab,15,0,0,15,0,0,,
Patiala,Punjab,1,0,0,1,0,0,,
Rupnagar,Punjab,3,0,1,2,0,0,,
S.A.S. Nagar,Punjab,48,0,2,46,0,0,,
Sangrur,Punjab,2,0,0,2,0,0,,
Shahid Bhagat Singh Nagar,Punjab,19,0,0,19,0,0,,
